id,source,target,airlines
LGW-AGP,LGW,AGP,6
LGW-ALC,LGW,ALC,6
LGW-BCN,LGW,BCN,6
CKG-URC,CKG,URC,6
NKG-CSX,NKG,CSX,6
NNG-KMG,NNG,KMG,6
PEK-KMG,PEK,KMG,6
LHR-RDU,LHR,RDU,6
SDJ-CTS,SDJ,CTS,6
PVG-KMG,PVG,KMG,6
HET-TSN,HET,TSN,6
TAO-WUH,TAO,WUH,6
SZX-TSN,SZX,TSN,6
LHR-YUL,LHR,YUL,6
TSN-HET,TSN,HET,6
TSN-SZX,TSN,SZX,6
LHR-YVR,LHR,YVR,6
LHR-YYC,LHR,YYC,6
CKG-WUH,CKG,WUH,6
BKK-TPE,BKK,TPE,6
HKG-TPE,HKG,TPE,6
LIM-SCL,LIM,SCL,6
SHA-TSA,SHA,TSA,6
TPE-BKK,TPE,BKK,6
TPE-HKG,TPE,HKG,6
LIS-LHR,LIS,LHR,6
TSA-SHA,TSA,SHA,6
CAN-NKG,CAN,NKG,6
CAN-NRT,CAN,NRT,6
CAN-PVG,CAN,PVG,6
CAN-WNZ,CAN,WNZ,6
CAN-XMN,CAN,XMN,6
CGO-DLC,CGO,DLC,6
LPA-MAD,LPA,MAD,6
CGO-KWL,CGO,KWL,6
CKG-KWL,CKG,KWL,6
DLC-CGO,DLC,CGO,6
DLC-PEK,DLC,PEK,6
WUH-CKG,WUH,CKG,6
MAN-JFK,MAN,JFK,6
MCO-LAX,MCO,LAX,6
HGH-KWE,HGH,KWE,6
WUH-TAO,WUH,TAO,6
XMN-KWL,XMN,KWL,6
HKG-CTU,HKG,CTU,6
MEX-ORD,MEX,ORD,6
HKG-PEK,HKG,PEK,6
HRB-PEK,HRB,PEK,6
HRB-TAO,HRB,TAO,6
HTN-URC,HTN,URC,6
ICN-TNA,ICN,TNA,6
CGO-CKG,CGO,CKG,6
INC-XIY,INC,XIY,6
KMG-SZX,KMG,SZX,6
SIN-HKT,SIN,HKT,6
CSX-CKG,CSX,CKG,6
KWL-CGO,KWL,CGO,6
KWL-CKG,KWL,CKG,6
KWL-XIY,KWL,XIY,6
LHW-XIY,LHW,XIY,6
NKG-CAN,NKG,CAN,6
MSP-PHX,MSP,PHX,6
NKG-XIY,NKG,XIY,6
MSY-DFW,MSY,DFW,6
NNG-XMN,NNG,XMN,6
NRT-CAN,NRT,CAN,6
NRT-PEK,NRT,PEK,6
PEK-DLC,PEK,DLC,6
CSX-CTU,CSX,CTU,6
PEK-HKG,PEK,HKG,6
PEK-HRB,PEK,HRB,6
CSX-FOC,CSX,FOC,6
PEK-NRT,PEK,NRT,6
PEK-PVG,PEK,PVG,6
MAN-DLM,MAN,DLM,6
PEK-XMN,PEK,XMN,6
PVG-CAN,PVG,CAN,6
PVG-PEK,PVG,PEK,6
PVG-SZX,PVG,SZX,6
NRT-CTS,NRT,CTS,6
SIN-PEN,SIN,PEN,6
CTU-CAN,CTU,CAN,6
SZX-KMG,SZX,KMG,6
SZX-PVG,SZX,PVG,6
NRT-ORD,NRT,ORD,6
TAO-HRB,TAO,HRB,6
XMN-CTU,XMN,CTU,6
TNA-ICN,TNA,ICN,6
CTU-CSX,CTU,CSX,6
URC-HTN,URC,HTN,6
WNZ-CAN,WNZ,CAN,6
KWE-SHA,KWE,SHA,6
XIY-DLC,XIY,DLC,6
PEN-SIN,PEN,SIN,6
XIY-INC,XIY,INC,6
CTU-HKG,CTU,HKG,6
MFM-PVG,MFM,PVG,6
XIY-LHW,XIY,LHW,6
